

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
050.433  000.331  000.132: require('mason-lspconfig')
050.562  000.041  000.041: require('mason-lspconfig.notify')
050.565  000.130  000.089: require('mason-lspconfig.lspconfig_hook')
050.741  000.072  000.072: require('mason-core.functional.table')
050.770  000.205  000.133: require('mason-lspconfig.mappings.server')
050.968  000.066  000.066: require('mason-core.EventEmitter')
051.045  000.076  000.076: require('mason-core.optional')
051.286  000.134  000.134: require('mason-core.async')
051.332  000.044  000.044: require('mason-core.async.uv')
051.337  000.291  000.112: require('mason-core.fs')
051.349  000.578  000.145: require('mason-registry')
051.392  000.042  000.042: require('mason-lspconfig.server_config_extensions')
051.483  000.090  000.090: require('lspconfig.server_configurations.omnisharp')
051.828  000.057  000.057: require('mason-core.functional.number')
051.849  000.227  000.169: require('mason-lspconfig.api.command')
052.781  000.904  000.904: require('vim.diagnostic')
052.893  000.092  000.092: require('lsp-zero.setup')
053.165  000.173  000.173: require('lsp-zero.cmp')
055.261  000.083  000.083: require('mason-lspconfig.ensure_installed')
055.544  000.123  000.123: require('mason-core.result')
055.927  000.200  000.200: require('mason-core.process')
056.141  000.213  000.213: require('mason-core.spawn')
056.145  000.483  000.070: require('mason-core.managers.powershell')
056.196  000.050  000.050: require('mason.version')
056.198  000.653  000.120: require('mason-core.fetch')
056.278  000.078  000.078: require('mason-core.providers')
056.779  000.236  000.236: require('mason-core.purl')
056.792  000.456  000.220: require('mason-core.package')
057.276  000.108  000.108: require('mason-core.installer.registry.expr')
057.286  000.317  000.209: require('mason-core.installer.registry.link')
058.135  000.118  000.118: require('mason-core.receipt')
058.158  000.408  000.290: require('mason-core.installer.context')
058.282  000.122  000.122: require('mason-core.async.control')
058.407  000.124  000.124: require('mason-core.installer.linker')
058.411  000.855  000.201: require('mason-core.installer')
058.428  001.055  000.200: require('mason-core.installer.managers.std')
058.431  001.144  000.089: require('mason-core.installer.registry.schemas')
058.520  000.087  000.087: require('mason-core.installer.registry.util')
058.529  001.736  000.187: require('mason-core.installer.registry')
058.532  002.253  000.062: require('mason-registry.sources.util')
058.542  003.274  000.167: require('mason-registry.sources.github')
062.580  000.095  000.095: require('lspconfig.server_configurations.lua_ls')
063.048  000.196  000.196: require('lspconfig.manager')
063.128  000.073  000.073: require('lspconfig.server_configurations.tsserver')
063.564  000.178  000.178: require('lspconfig.server_configurations.rust_analyzer')
064.113  017.125  007.413: require('myNvimConfig.plugins.lsp')
064.646  000.099  000.099: require('lualine_require')
064.856  000.691  000.591: require('lualine')
064.980  000.065  000.065: require('lualine.themes.ayu_dark')
064.981  000.123  000.058: require('lualine.themes.ayu')
066.898  000.109  000.109: require('lualine.utils.mode')
069.074  004.959  004.036: require('myNvimConfig.plugins.lualine')
069.144  000.043  000.043: require('Comment')
069.178  000.032  000.032: require('Comment.config')
069.507  000.120  000.120: require('Comment.ft')
069.511  000.271  000.151: require('Comment.utils')
069.594  000.081  000.081: require('Comment.opfunc')
069.645  000.050  000.050: require('Comment.extra')
069.648  000.469  000.066: require('Comment.api')
069.751  000.673  000.130: require('myNvimConfig.plugins.comments')
070.595  000.827  000.827: require('mini.animate')
070.703  000.951  000.124: require('myNvimConfig.plugins.mini-animate')
071.074  000.161  000.161: require('null-ls.utils')
071.084  000.268  000.106: require('null-ls.config')
071.194  000.056  000.056: require('null-ls.helpers.cache')
071.325  000.130  000.130: require('null-ls.helpers.diagnostics')
071.379  000.053  000.053: require('null-ls.helpers.formatter_factory')
071.642  000.078  000.078: require('null-ls.logger')
071.724  000.081  000.081: require('null-ls.state')
071.726  000.346  000.187: require('null-ls.helpers.generator_factory')
071.905  000.084  000.084: require('null-ls.helpers.command_resolver')
071.907  000.179  000.096: require('null-ls.helpers.make_builtin')
071.982  000.074  000.074: require('null-ls.helpers.range_formatting_args_factory')
071.983  000.897  000.059: require('null-ls.helpers')
072.372  000.082  000.082: require('null-ls.methods')
072.375  000.214  000.133: require('null-ls.diagnostics')
072.379  000.395  000.181: require('null-ls.sources')
072.444  000.063  000.063: require('null-ls.builtins')
072.446  001.711  000.087: require('null-ls')
072.593  000.146  000.146: require('null-ls.builtins.formatting.prettier')
072.673  000.070  000.070: require('null-ls.builtins.formatting.black')
072.743  000.063  000.063: require('null-ls.builtins.formatting.stylua')
073.076  000.158  000.158: require('null-ls.client')
073.094  002.389  000.241: require('myNvimConfig.plugins.null-ls')
074.016  000.091  000.091: require('nvim-tree.notify')
074.021  000.190  000.099: require('nvim-tree.events')
074.356  000.095  000.095: require('nvim-tree.log')
074.689  000.080  000.080: require('nvim-tree.iterators.node-iterator')
074.708  000.351  000.271: require('nvim-tree.utils')
074.856  000.147  000.147: require('nvim-tree.git.utils')
075.063  000.205  000.205: require('nvim-tree.git.runner')
075.276  000.211  000.211: require('nvim-tree.watcher')
075.459  000.180  000.180: require('nvim-tree.explorer.node')
075.465  001.364  000.176: require('nvim-tree.git')
075.608  000.141  000.141: require('nvim-tree.explorer.watch')
075.896  000.139  000.139: require('nvim-tree.explorer.node-builders')
076.142  000.243  000.243: require('nvim-tree.explorer.sorters')
076.464  000.123  000.123: require('nvim-tree.marks')
076.468  000.324  000.200: require('nvim-tree.explorer.filters')
077.138  000.447  000.447: require('nvim-tree.view')
077.144  000.674  000.227: require('nvim-tree.live-filter')
077.147  001.537  000.158: require('nvim-tree.explorer.explore')
077.385  000.236  000.236: require('nvim-tree.explorer.reload')
077.389  003.368  000.088: require('nvim-tree.explorer')
077.393  003.667  000.110: require('nvim-tree.core')
077.574  000.179  000.179: require('nvim-tree.renderer.components.padding')
077.740  000.163  000.163: require('nvim-tree.renderer.components.icons')
077.925  000.183  000.183: require('nvim-tree.renderer.components.full-name')
078.539  000.108  000.108: require('nvim-tree.enum')
078.698  000.157  000.157: require('nvim-tree.renderer.decorator')
078.703  000.408  000.143: require('nvim-tree.renderer.decorator.bookmarks')
078.825  000.121  000.121: require('nvim-tree.renderer.decorator.copied')
078.939  000.111  000.111: require('nvim-tree.renderer.decorator.cut')
079.321  000.221  000.221: require('nvim-tree.diagnostics')
079.327  000.387  000.166: require('nvim-tree.renderer.decorator.diagnostics')
079.566  000.237  000.237: require('nvim-tree.renderer.decorator.git')
079.832  000.130  000.130: require('nvim-tree.buffers')
079.835  000.267  000.137: require('nvim-tree.renderer.decorator.modified')
079.956  000.119  000.119: require('nvim-tree.renderer.decorator.opened')
079.963  002.036  000.386: require('nvim-tree.renderer.builder')
079.972  006.338  000.110: require('nvim-tree.renderer')
079.979  006.500  000.162: require('nvim-tree.lib')
080.176  000.195  000.195: require('nvim-tree.appearance')
080.994  000.163  000.163: require('nvim-tree.actions.finders.find-file')
081.177  000.157  000.157: require('nvim-tree.actions.finders.search-node')
081.179  000.448  000.129: require('nvim-tree.actions.finders')
081.730  000.144  000.144: require('nvim-tree.actions.reloaders')
081.738  000.452  000.308: require('nvim-tree.actions.fs.copy-paste')
081.954  000.214  000.214: require('nvim-tree.actions.fs.create-file')
082.160  000.203  000.203: require('nvim-tree.actions.fs.remove-file')
082.315  000.153  000.153: require('nvim-tree.actions.fs.rename-file')
082.501  000.184  000.184: require('nvim-tree.actions.fs.trash')
082.504  001.322  000.116: require('nvim-tree.actions.fs')
082.797  000.187  000.187: require('nvim-tree.actions.moves.item')
082.909  000.109  000.109: require('nvim-tree.actions.moves.parent')
083.027  000.115  000.115: require('nvim-tree.actions.moves.sibling')
083.029  000.523  000.112: require('nvim-tree.actions.moves')
083.288  000.152  000.152: require('nvim-tree.actions.node.file-popup')
083.623  000.333  000.333: require('nvim-tree.actions.node.open-file')
083.741  000.116  000.116: require('nvim-tree.actions.node.run-command')
083.895  000.152  000.152: require('nvim-tree.actions.node.system-open')
083.898  000.866  000.114: require('nvim-tree.actions.node')
084.164  000.160  000.160: require('nvim-tree.actions.root.change-dir')
084.269  000.103  000.103: require('nvim-tree.actions.root.dir-up')
084.271  000.372  000.109: require('nvim-tree.actions.root')
084.507  000.129  000.129: require('nvim-tree.actions.tree.find-file')
084.738  000.129  000.129: require('nvim-tree.actions.tree.modifiers.collapse-all')
084.885  000.145  000.145: require('nvim-tree.actions.tree.modifiers.expand-all')
085.011  000.124  000.124: require('nvim-tree.actions.tree.modifiers.toggles')
085.014  000.505  000.106: require('nvim-tree.actions.tree.modifiers')
085.149  000.133  000.133: require('nvim-tree.actions.tree.open')
085.285  000.134  000.134: require('nvim-tree.actions.tree.toggle')
085.287  001.014  000.113: require('nvim-tree.actions.tree')
085.289  004.673  000.127: require('nvim-tree.actions')
085.749  000.208  000.208: require('nvim-tree.keymap')
085.754  000.463  000.255: require('nvim-tree.help')
085.914  000.157  000.157: require('nvim-tree.marks.navigation')
086.036  000.120  000.120: require('nvim-tree.marks.bulk-delete')
086.149  000.111  000.111: require('nvim-tree.marks.bulk-trash')
086.243  000.092  000.092: require('nvim-tree.marks.bulk-move')
086.292  005.946  000.330: require('nvim-tree.api')
086.300  006.122  000.176: require('nvim-tree.commands')
086.455  000.153  000.153: require('nvim-tree.legacy')
086.499  013.385  000.415: require('nvim-tree')
088.436  000.880  000.880: require('nvim-web-devicons.icons-default')
088.530  001.454  000.574: require('nvim-web-devicons')
090.360  017.265  002.426: require('myNvimConfig.plugins.nvim-tree')
090.547  000.036  000.036: require('smoothcursor.matrix_chars')
090.550  000.077  000.041: require('smoothcursor.config')
090.551  000.148  000.071: require('smoothcursor')
090.806  000.046  000.046: require('smoothcursor.debug')
090.842  000.034  000.034: require('smoothcursor.callbacks.timer')
090.895  000.052  000.052: require('smoothcursor.callbacks.buffer')
090.898  000.292  000.161: require('smoothcursor.callbacks')
090.953  000.053  000.053: require('smoothcursor.callbacks.default')
091.123  000.055  000.055: require('smoothcursor.init')
091.158  000.034  000.034: require('smoothcursor.last_positions')
091.161  000.207  000.118: require('smoothcursor.utils')
091.207  000.844  000.144: require('myNvimConfig.plugins.smooth-cursor')
091.577  000.092  000.092: require('todo-comments.util')
091.582  000.272  000.180: require('todo-comments.config')
091.905  000.232  000.232: require('todo-comments.highlight')
091.907  000.324  000.093: require('todo-comments.jump')
091.908  000.686  000.090: require('todo-comments')
091.921  000.712  000.026: require('myNvimConfig.plugins.todo-comments')
093.061  000.078  000.078: require('nvim-treesitter.compat')
093.184  000.121  000.121: require('nvim-treesitter.tsrange')
093.261  000.076  000.076: require('nvim-treesitter.caching')
093.286  001.071  000.797: require('nvim-treesitter.query')
093.295  001.356  000.285: require('nvim-treesitter.configs')
093.818  000.142  000.142: require('nvim-treesitter.info')
093.995  000.175  000.175: require('nvim-treesitter.shell_command_selectors')
094.012  000.709  000.393: require('nvim-treesitter.install')
094.772  002.851  000.786: require('myNvimConfig.plugins.tree-sitter')
094.938  000.055  000.055: require('noice.util.lazy')
094.942  000.138  000.083: require('noice')
095.191  000.109  000.109: require('vim.health')
095.349  000.146  000.146: require('noice.config')
095.656  000.105  000.105: require('noice.util.call')
095.660  000.309  000.204: require('noice.util')
095.662  000.718  000.153: require('noice.health')
095.676  000.902  000.046: require('myNvimConfig.plugins.noice')
095.677  086.325  000.080: require('myNvimConfig.plugins')
095.680  092.267  000.097: sourcing /home/shubh-deb/.config/nvim/init.lua
095.684  001.323: sourcing vimrc file(s)
096.203  000.359  000.359: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/filetype.lua
096.412  000.057  000.057: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/syntax/synload.vim
096.497  000.242  000.185: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/syntax/syntax.vim
097.267  000.102  000.102: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/gzip.vim
097.279  000.004  000.004: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/health.vim
097.565  000.116  000.116: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
097.623  000.338  000.222: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/matchit.vim
097.709  000.079  000.079: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/matchparen.vim
097.725  000.009  000.009: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/netrwPlugin.vim
097.811  000.004  000.004: sourcing /home/shubh-deb/.local/share/nvim/rplugin.vim
097.814  000.083  000.079: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/rplugin.vim
097.866  000.045  000.045: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/shada.vim
097.885  000.011  000.011: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/spellfile.vim
097.958  000.065  000.065: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/tarPlugin.vim
098.016  000.045  000.045: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/tohtml.vim
098.033  000.008  000.008: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/tutor.vim
098.120  000.080  000.080: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/zipPlugin.vim
098.545  000.366  000.366: sourcing /home/shubh-deb/.config/nvim/plugin/packer_compiled.lua
098.708  000.024  000.024: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/editorconfig.lua
098.752  000.035  000.035: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/man.lua
098.784  000.024  000.024: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/plugin/nvim.lua
098.793  001.189: loading rtp plugins
099.239  000.170  000.170: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
099.301  000.016  000.016: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
100.220  000.834  000.834: require('vim.filetype')
100.360  001.026  000.192: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.lua
100.486  000.059  000.059: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/SmoothCursor.nvim/plugin/smoothcursor.lua
100.696  000.019  000.019: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/lsp-zero.nvim/plugin/lsp-zero.lua
101.977  001.080  001.080: require('cmp.utils.highlight')
102.207  001.367  000.287: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
102.464  000.196  000.196: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
102.739  000.089  000.089: require('nvim-treesitter.statusline')
102.897  000.157  000.157: require('nvim-treesitter.query_predicates')
102.899  000.336  000.090: require('nvim-treesitter')
103.128  000.589  000.253: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
103.199  000.030  000.030: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
103.406  000.104  000.104: require('nvim-treesitter-playground')
103.527  000.254  000.150: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/playground/plugin/nvim-treesitter-playground.lua
103.586  000.019  000.019: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
103.874  000.217  000.217: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
103.927  000.015  000.015: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/todo-comments.nvim/plugin/todo.vim
104.031  000.040  000.040: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/vim-bbye/plugin/bbye.vim
104.100  000.021  000.021: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/vim-be-good/plugin/vim-be-good.vim
104.183  000.038  000.038: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/vim-tmux-navigator/plugin/tmux_navigator.vim
